Additional Paid in Capital,"Amounts paid for stock in excess of its PAR VALUE or STATED VALUE. Also, other amounts paid by stockholders and charged to EQUITY ACCOUNTS other than CAPITAL STOCK."
Adjusted Basis,"After a taxpayer's basis in property is determined, it must be adjusted upward to include any additions of capital to the property and reduced by any returns of capital to the taxpayer. Additions might include improvements to the property and subtractions may include depreciation or depletion. A taxpayer's adjusted basis in property is deducted from the amount realized to find the gain or loss on sale or disposition."
Adjusted Gross Income,"Gross income reduced by business and other specified expenses of individual taxpayers. The amount of adjusted gross income affects the extent to which medical expenses, non business casualty and theft losses and charitable contributions may be deductible. It is also an important figure in the basis of many other individual planning issues as well as a key line item on the IRS form 1040 and required state forms."
Adjusted Trial Balance,A trial balance prepared after all adjusting entries have been recorded and posted to the accounts. Should have equal credit and debit totals.
Adjusting Journal Entry,"An accounting entry made into a subsidiary ledger called the General journal to account for a periods changes, omissions or other financial data required to be reported in the books but not usually posted to the journals used for typical period transactions (the cash receipts journal, cash disbursements journal, the payroll journal, sales journal and so on) the entry is posted to the general ledger accounts directly and usually will be numbered itself, dated and have an explanation. Example: AJE# 1 12-31-2003, debit Cash in bank $1,000. Credit interest income $1,000, to record interest income on business bank account at year end, not recorded in cash receipts journal but credited by the bank. (Cross-reference bank reconciliation and account where it was found)"
ADR,Receipts for shares of foreign company stock maintained by an intermediary indicating ownership.
Adverse Opinion,"Expression of an opinion in an AUDITORS' REPORT which states that FINANCIAL STATEMENTS do not fairly present the financial position, results of operations and cash flows in conformity with GENERALLY ACCEPTED ACCOUNTING PRINCIPLES (GAAP)."
Affiliated Company,"Company, or other organization related through common ownership, common control of management or owners, or through some other control mechanism, such as a long-term LEASE."
Agency Fund,"Fund consisting of ASSETS where the holder agrees to remit the assets, income from the assets, or both, to a specified beneficiary in due course or at a specified time."
AICPA,"National professional membership organization that represents practicing CERTIFIED PUBLIC ACCOUNTANTS (CPAs). The AICPA establishes ethical and auditing standards as well as standards for other services performed by its members. Through committees, it develops guidance for specialized industries. It participates with the FINANCIAL ACCOUNTING STANDARDS BOARD (FASB) and the GOVERNMENT ACCOUNTING STANDARDS BOARD (GASB) in establishing accounting principles."
Allocate,To set aside for a specific reason.
Allowance for Doubtful Accounts,A contra-asset account used to reduce ACCOUNTS RECEIVABLE to the amount that is expected to be collected in cash.
Alternative Dispute Resolution,"An alternative to formal litigation which includes techniques such as arbitration, mediation, and a non-binding summary jury trial."
Alternative Minimum Tax (AMT),Tax imposed to back up the regular income tax imposed on CORPORATION and individuals to assure that taxpayers with economically measured income exceeding certain thresholds pay at least some income tax.
American Depository Receipt (ADR),Receipts for shares of foreign company stock maintained by an intermediary indicating ownership.
American Institute of Certified Public Accountants (AICPA),"National professional membership organization that represents practicing CERTIFIED PUBLIC ACCOUNTANTS (CPAs). The AICPA establishes ethical and auditing standards as well as standards for other services performed by its members. Through committees, it develops guidance for specialized industries. It participates with the FINANCIAL ACCOUNTING STANDARDS BOARD (FASB) and the GOVERNMENT ACCOUNTING STANDARDS BOARD (GASB) in establishing accounting principles."
Amortization,"Gradual and periodic reduction of any amount, such as the periodic writedown of a BOND premium, the cost of an intangible ASSET or periodic payment Of MORTGAGES or other DEBT."
AMT,Tax imposed to back up the regular income tax imposed on CORPORATION and individuals to assure that taxpayers with economically measured income exceeding certain thresholds pay at least some income tax.
Analyst,"Person in a brokerage house, bank trust dept., or mutual fund group who studies a number of companies and makes buy or sell recommendations on the securities of particular companies and industry groups."
Analytical Procedures,"Substantive tests of financial information which examine relationships among data as a means of obtaining evidence. Such procedures include: (1) comparison of financial information with information of comparable prior periods; (2) comparison of financial information with anticipated results (e.g., forecasts); (3) study of relationships between elements of financial information that should conform to predictable patterns based on the entity's experience; (4) comparison of financial information with industry norms."
Annual Report,"Report to the stockholders of a company which includes the company's annual, audited BALANCE SHEET and related statements of earnings, stockholders' or owners' equity and cash flows, as well as other financial and business information."
Annuity,"Series of payments, usually payable at specified time intervals."
Anti-Dilution,"Condition that may increase the computation of EARNINGS PER SHARE (EPS) or decrease loss per share solely because of the inclusion of COMMON STOCK equivalents, such as STOCK OPTIONS, WARRANTS, convertible DEBT or convertible PREFERRED STOCK, nomination or selection of the independent AUDITORs."
APB,Senior technical committee of the AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS (AICPA) which issued pronouncements on accounting principles from 1959-1973. The APB was replaced by the FINANCIAL ACCOUNTING STANDARDS BOARD (FASB).
Appreciation,"Increase in the value of an ASSET such as a stock, BOND, commodity, or real estate."
Assembly of Financial Statements,"The providing of various accounting or data-processing services by an accountant, the output of which is in the form of financial statements ostensibly to be used solely for internal management purposes."
Assertion,Explicit or implicit representations by an entity's management that are embodied in financial statement components and for which the AUDITOR obtains and evaluates evidential matter when forming his or her opinion on the entity's financial statements.
Asset,An economic resource that is expected to be of benefit in the future. Probable future economic benefits obtained as a result of past transactions or events. Anything of value to which the firm has a legal claim. Any owned tangible or intangible object having economic value useful to the owner.
Asset Turnover,A way of measuring how profitably and efficiently assets are being used to produce sales. This is determined by dividing net sales by average total assets.
At Par,"At a price equal to the face, or nominal, value of a security."
Audit,A professional examination of a company’s financial statement by a professional accountant or group to determine that the statement has been presented fairly and prepared using GENERALLY ACCEPTED ACCOUNTING PRINCIPLES (GAAP).
Audit Documentation,"The written record of the basis for the AUDITOR's conclusions that provides the support for the auditor's representations, whether those representations are contained in the auditor's report or otherwise. (May be referred to as work papers or working papers)."
Audit Engagement,Agreement between a CPA firm and its client to perform an AUDIT.
Audit Risk,The risk that the AUDITOR may unknowingly fail to modify appropriately his or her opinion on financial statements that are materially misstated.
Audit Sampling,Application of an AUDIT procedure to less than 100% of the items within an account BALANCE or class of transactions for the purpose of evaluating some characteristic of the balance or class.
Auditing Standards,"Guidelines to which an AUDITOR adheres. Auditing standards encompass the auditor's professional qualities, as well as his or her judgment in performing an AUDIT and in preparing the AUDITORS' REPORT. Audits conducted by independent CERTIFIED PUBLIC ACCOUNTANT (CPA) usually in accordance with GENERALLY ACCEPTED AUDITING STANDARDS (GAAS), which consist of standards approved and adopted by the membership of the AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS (AICPA)."
Auditor,Person who AUDITS financial accounts and records kept by others. Includes both public accounting firms registered with the PCAOB and associated persons thereof.
Auditors' Report,"Written communication issued by an independent CERTIFIED PUBLIC ACCOUNTANT (CPA) describing the character of his or her work and the degree of responsibility taken. An auditors' report includes a statement that the AUDIT was conducted in accordance with GENERALLY ACCEPTED AUDITING STANDARDS (GAAS), which require that the AUDITOR plan and perform the audit to obtain reasonable assurance about whether the FINANCIAL STATEMENTS are free of material misstatement, as well as a statement that the auditor believes the audit provides a reasonable basis for his or her opinion."
Authorized Shares,Maximum number of shares of any class a company may legally create under the terms of its articles of incorporation.
Average Days’ Inventory On-Hand,The average number of days required to sell the current inventory of products available for sale. It is found by dividing the number of days in a year by inventory turnover.
Average Days’ Sales Uncollected,A ratio that shows the average length of time it takes a company to receive payment for credit sales.
Average-Cost Method,A way of arriving at the cost of inventory that computes the average cost of all goods available for sale during a fixed period in order to determine the value of inventory.
Backup Withholding,"Payors of interest, dividends and other reportable payments must withhold income tax equal at a rate equal to the fourth lowest rate applicable to single filers if they fail to supply a federal id # or if they fail to certify that they are not subject to it."
Bad Debt,"All or portion of an ACCOUNT, loan, or note receivable considered to be uncollectible."
Balance,"Basic FINANCIAL STATEMENT, usually accompanied by appropriate DISCLOSURES that describe the basis of ACCOUNTING used in its preparation and presentation of a specified date the entity's ASSETS, LIABILITIES and the EQUITY of its owners. Also known as a STATEMENT OF FINANCIAL CONDITION."
Bank Reconciliation,A process by which an accountant determines whether and why there is a difference between the balance shown on the bank statement and the balance of the cash account in the firm’s GENERAL LEDGER.
Bank Statement,"A periodic statement, usually monthly, that a bank sends to the holder of a checking account showing the balance in the account at the beginning of the month, during, and at the end of the month."
Bankruptcy,"Legal process, governed by federal statute, whereby the DEBTS of an insolvent person are liquidated after being satisfied to the greatest extent possible by the DEBTOR'S ASSETS. During bankruptcy, the debtor's assets are held and managed by a court appointed TRUSTEE."
Base Market Value,Average market price of a group of securities at a given time.
Beginning Inventory,The quantity of merchandise available for sale at the beginning of an ACCOUNTING period.
Bequest,"Legal process, governed by federal statute, whereby the DEBTS of an insolvent person are liquidated after being satisfied to the greatest extent possible by the DEBTOR'S ASSETS. During bankruptcy, the debtor's assets are held and managed by a court appointed TRUSTEE."
Beta Coefficient,Measure of a stock’s relative volatility. The beta is the covariance of a stock in relation to the rest of the stock market.
Bid and Asked,Bid is the highest price a prospective buyer is prepared to pay at a particular time for a trading unit of a given SECURITY; asked is the lowest price acceptable to a prospective seller of the same security. The difference between the prices is the SPREAD.
Blue Sky Laws,State laws that regulate the ISSUANCE of SECURITIES. These laws are coordinated with federal acts.
Board of Directors,"Individuals responsible for overseeing the affairs of an entity, including the election of its officers. The board of a CORPORATION that issues stock is elected by stockholders."
Bond,"One type of long-term PROMISSORY NOTE, frequently issued to the public as a SECURITY regulated under federal securities laws or state BLUE SKY LAWS. Bonds can either be registered in the owner's name or are issued as bearer instruments."
Bond Discount,The amount below PAR VALUE that a BOND sells for.
Bond Indenture,"An additional agreement to a BOND issue that defines the rights, privileges, and limitations of BONDHOLDERS."
Bondholder,A person who owns a BOND certificate issued by a government or CORPORATION.
Book Value,"Amount, net or CONTRA ACCOUNT balances, that an ASSET or LIABILITY shows on the BALANCE SHEET of acompany. Also known as CARRYING VALUE."
Bookkeeping,The process of recording financial transactions and keeping financial records.
Boot,The non technical term used by some to describe any cash or other property that is received in exchange of property that would be otherwise nontaxable.
Bottom Line,The line in a FINANCIAL STATEMENT that shows NET INCOME or LOSS.
Break-Even Point,The point at which TOTAL REVENUES equals TOTAL COSTS.
Break-Even Units,The number of units of a product that must be sold before a company makes enough money to pay for direct and indirect costs of making the product.
Budget,"Financial plan that serves as an estimate of future cost, REVENUES or both."
Burden Rate,Standard rate multiplied by a level of activity to determine the OVERHEAD cost of that activity. Activity measures include LABOR or machine hours.
Business Combinations,"Combining of two entities. Under the PURCHASE METHOD OF ACCOUNTING, one entity is deemed to acquire another and there is a new basis of accounting for the ASSETS and LIABILITIES of the acquired company. In a POOLING OF INTERESTS, two entities merge through an exchange of COMMON STOCK and there is no change in the CARRYING VALUE of the assets or liabilities."
Business Segment,"Any division of an organization authorized to operate, within prescribed or otherwise established limitations, under substantial control by its own management."
Buyout,Purchase of at least a controlling percentage of a company’s stock to take over its ASSETS and operations.
Bylaws,"Collection of formal, written rules governing the conduct of a CORPORATION'S affairs (such as what officers it will have, what their responsibilities are, and how they are to be chosen). Bylaws are approved by a corporation's stockholders, if a stock corporation, or other owners, if a non-stock corporation."
Cafeteria Plan,A benefit plan maintained by an employer for the benefit of the employees under which each participant has the opportunity to select the benefits they desire. Certain minimum choices and nondiscriminatory rules apply.
Call Loan,Loan repayable on demand. Also known as DEMAND LOAN.
Call Price,"A specified price, usually above face value, at which a CORPORATION may, at its option, buy back and retire BONDS before maturity."
Callable,Redeemable by the issuer before the scheduled maturity.
Callable Instrument,BOND which accords an issuer the right to redemption before it is due.
Capital Asset Pricing Model (CAPM),Sophisticated model of the relationship between expected risk and expected return.
Capital Expenditure,Outlay of money to acquire or improve capital assets such as buildings and machinery.
Capital Gain,Portion of the total GAIN recognized on the sale or exchange of a noninventory asset which is not taxed as ORDINARY INCOME. Capital gains have historically been taxed at a lower rate than ordinary income.
Capital Projects Funds,Funds used by a not-for-profit organization to account for all resources used for the development of a land improvement or building addition or renovation.
Capital Stock,Ownership shares of a CORPORATION authorized by its ARTICLES OF INCORPORATION. The money valueassigned to a corporation's issued shares. The BALANCE SHEET account with the aggregate amount of the PAR VALUE or STATED VALUE of all stock issued by a corporation.
Capitalize,"Convert a schedule of INCOME into a principal amount, called capitalized value, by dividing by a rate of INTEREST."
Capitalized Cost,"Expenditure identified with goods or services acquired and measured by the amount of cash paid or the market value of other property, CAPITAL STOCK, or services surrendered. Expenditures that are written off during two or more accounting periods."
Capitalized Interest,INTEREST cost incurred during the time necessary to bring an ASSET to the condition and location for its intended use and included as part of the HISTORICAL COST of acquiring the asset.
Capitalized Lease,LEASE recorded as an ASSET acquisition accompanied by a corresponding LIABILITY by the LESSEE.
CAPM,Sophisticated model of the relationship between expected risk and expected return.
Carrying Value,"Amount, net or CONTRA ACCOUNT balances, that an ASSET or LIABILITY shows on the BALANCE SHEET of a company. Also known as BOOK VALUE."
Carryovers,Provision of tax law that allows current losses or certain tax credits to be utilized in the tax returns of future periods..
Cash,"ASSET account on a balance sheet representing paper currency and coins, negotiable money orders and checks, bank balances, and certain short-term government securities."
Cash Account,Brokerage firm account whose transactions are settled on a cash basis.
Cash Basis,Method of bookkeeping by which REVENUES and EXPENDITURES are recorded when they are received and paid.
Cash Dividend,Distribution of a CORPORATION’s earnings to stockholders in the form of CASH.
Cash Equivalents,"Short-term (generally less than three months), highly liquid INVESTMENTS that are convertible to known amounts of cash."
Cash Flow to Assets,Used to measure the ability of ASSETS to generate operating CASH FLOWS.
Cash Flow to Sales,A way of measuring the ability of sales to generate operating CASH FLOWS.
Cash Flows,Net of cash receipts and cash disbursements relating to a particular activity during a specified accounting period.
Cash Payments Journal,A multicolumn journal used to record sums of cash paid out for expenses.
Cash Ratio,Ratio of CASH and MARKETABLE SECURITIES to CURRENT LIABILITIES.
Cash Receipts Journal,A multicolumn journal used to record business transactions involving the receipt of CASH from other individuals or businesses.
Casualty Loss,Any loss of an asset due to fire storm act of nature causing asset damage from unexpected or accidental force. Generally it is deductible regardless of whether it is business or personal.
CD,"Formal instrument issued by a bank upon the deposit of funds which may not be withdrawn for a specified time period. Typically, an early withdrawal will incur a penalty."
CEO,Officer of a firm principally responsible for the activities of a COMPANY.
Certificate of Deposit (CD),"Formal instrument issued by a bank upon the deposit of funds which may not be withdrawn for a specified time period. Typically, an early withdrawal will incur a penalty."
Certified Financial Planner (CFP),"Individual who is trained to develop and implement financial plans for individuals, businesses, and organizations, utilizing knowledge of income and estate tax, investments, risk management analysis and retirement planning. CFPs are certified after completing a series of requirements that include education, experience, ethics and an exam. CFPs are not regulated by a governmental authority."
Certified Internal Auditor (CIA),Internal AUDITOR who has satisfied the examination requirements of the Institute of Internal Auditors.
Certified Management Accountant (CMA),An accreditation conferred by the Institute of Management Accountants that indicates the designee has passed an examination and attained certain levels of education and experience in the practice of accounting in the private sector.
Certified Public Accountant (CPA),"ACCOUNTANT who has satisfied the education, experience, and examination requirements of his or her jurisdiction necessary to be certified as a public accountant."
CFO,"Executive officer who is responsible for handling funds, signing CHECKS, keeping financial records, and financial planning for a CORPORATION."
CFP,"Individual who is trained to develop and implement financial plans for individuals, businesses, and organizations, utilizing knowledge of income and estate tax, investments, risk management analysis and retirement planning. CFPs are certified after completing a series of requirements that include education, experience, ethics and an exam. CFPs are not regulated by a governmental authority."
Chief Executive Officer (CEO),Officer of a firm principally responsible for the activities of a COMPANY.
Chief Financial Officer (CFO),"Executive officer who is responsible for handling funds, signing CHECKS, keeping financial records, and financial planning for a CORPORATION."
CIA,Internal AUDITOR who has satisfied the examination requirements of the Institute of Internal Auditors.
Claim for Refund,"A refund is not automatically mailed if one is due. A taxpayer, whether business or individual, must file a request on a form. It must also be filed within the timeframe allotted or the refund may be lost. An individual can claim a refund back to whatever year it was due but it will only be paid three years back or less."
Clean Opinion,AUDIT opinion not qualified for any material scope restrictions nor departures from GENERALLY ACCEPTED ACCOUNTING PRINCIPLES (GAAP). Also known as UNQUALIFIED OPINION.
Close,To clear the BALANCES of temporary accounts in order to be ready for the next accounting period.
Closed-End Mutual Fund,MUTUAL FUND with a fixed number of shares outstanding that may be bought or sold. CMO - See COLLATERALIZED MORTGAGE OBLIGATION.
Closing Entry,A journal entry made at the end of an accounting period in order to prepare for the next accounting period by clearing the BALANCES of temporary accounts and summarizing the period’s REVENUES and expenses.
CMA,An accreditation conferred by the Institute of Management Accountants that indicates the designee has passed an examination and attained certain levels of education and experience in the practice of accounting in the private sector.
CMO,SECURITY whose cash flows equal the difference between the cash flows of the collateralizing ASSETS and the collateralized obligations of a securitized TRUST. Characteristics of CMO residuals vary greatly and can be extremely complex in nature.
Co-Mingling,"Mixing ASSETS, e.g. customer-owned SECURITIES, with those owned by a firm in its proprietary accounts."
Collateral,ASSET provided to a CREDITOR as security for a loan.
Collateralized Mortgage Obligation (CMO),SECURITY whose cash flows equal the difference between the cash flows of the collateralizing ASSETS and the collateralized obligations of a securitized TRUST. Characteristics of CMO residuals vary greatly and can be extremely complex in nature.
Combined Financial Statement,FINANCIAL STATEMENT comprising the accounts of two or more entities.
Comfort Letter,Letter provided by a company's independent public accountant to an underwriter when the underwriter has a DUE DILIGENCE responsibility under Section 11 of the Securities Act of 1933 regarding financial information included in an offering statement.
Commercial Paper,"A way of borrowing money by using unsecured short-term loans sold directly to the public, usually through professionally managed investments firms."
Commission,"Percentage of the selling price of the property, paid by the seller."
Committee of Sponsoring Organizations of the Treadway Commission (COSO),An alliance of five professional organizations dedicated to disseminating appropriate internal control standards.
Commodities,"Bulk goods such as grains, metals, and foods traded on a commodities exchange or on the SPOT MARKET."
Common Stock,"CAPITAL STOCK having no preferences generally in terms of dividends, voting rights or distributions."
Company,"Organization engaged in business as a PROPRIETORSHIP, PARTNERSHIP, CORPORATION, or other form of enterprise."
Company Level Controls,"Controls that exist at the company level that have an impact on controls at the process, transaction, or application level."
Comparative Financial Statement,FINANCIAL STATEMENT presentation in which the current amounts and the corresponding amounts for previous periods or dates also are shown.
Compensate,To pay or make payment for something.
Compensatory Balance,Funds that a borrower must keep on deposit as required by a bank.
Compilation,Presentation of financial statement data without the ACCOUNTANT'S assurance as to conformity with GENERALLY ACCEPTED ACCOUNTING PRINCIPLES (GAAP).
Compilation Engagement,Agreement between a CPA firm and its client to issue a COMPILATION REPORT.
Compilation Report,See ACCOUNTANTS' REPORT.
Complex Trust,A trust that is to be distinguished from a simple trust in the fact that it permits accumulation or distribution of current income during the tax year and provides for charitable contributions.
Compliance Audit,Review of financial records to determine whether the entity is complying with specific procedures or rules.
Compound Interest Principles,Interest computed on principal plus interest earned in previous periods.
Comprehensive Income,Change in EQUITY of a business enterprise during a period from transactions and other events and circumstances from sources not shown in the income statement. The period includes all changes in equity except those resulting from INVESTMENTS by owners and distributions to owners.
Condensed Financial Statement,A FINANCIAL STATEMENT for external reporting that presents only the major categories of information.
Confirmation,AUDITOR'S receipt of a written or oral response from an independent third party verifying the accuracy of information requested.
Conservatism,An investment strategy aimed at long-term capital appreciation with low risk; moderate; cautious; opposite of aggressive behavior; show possible losses but wait for actual profits. Concept which directs the least favorable effect on net income.
Consistency,"ACCOUNTING postulate which stipulates that, except as otherwise noted in the FINANCIAL STATEMENT, the same accounting policies and procedures have been followed from period to period by an organization in the preparation and presentation of its financial statements."
Consolidated Financial Statements,Combined FINANCIAL STATEMENTS of a parent company and one or more of its subsidiaries as one economic unit
Consolidation,BUSINESS COMBINATION of two or more entities that occurs when the entities transfer all of their NET ASSETS to a new entity created for that purpose.
Constructive Receipt,"A taxpayer is considered to have received the income even though the monies are not in hand, it may have been set aside or otherwise made available. An example is interest on a bank account."
Consumer Goods,"Goods bought for personal or household use, as distinguished from capital goods or producer’s goods, which are used to produce other goods."
Contingency,An event that might happen but that is not likely or planned.
Contingent Liability,Potential LIABILITY arising from a past transaction or a subsequent event.
Continuing Operations,Portion of a business entity expected to remain active.
Continuing Professional Education (CPE),Educational programs for CERTIFIED PUBLIC ACCOUNTANTS (CPAs) to keep informed on changes that occur within the profession. State Boards for Public Accountancy and the AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS (AICPA) each have separate CPE requirements.
Contra Account,ACCOUNT considered to be an offset to another account. Generally established to reduce the other account to amounts that can be realized or collected.
Contra-Liability Account,"A deduction from a LIABILITY, such as discounts on notes payable, which is a deduction from the balance of notes payable."
Contract,"In general, agreement by which rights or acts are exchanged for lawful consideration."
Contributed Capital,The stockholders’ investment in a CORPORATION.
Contribution Margin,The excess of REVENUES over all variable costs related to a particular sales volume.
Control Deficiency,"This exists when the design or operation of a control does not allow management or employees, in the normal course of performing their assigned functions, to prevent or detect misstatements on a timely basis."
Control Risk,Measure of risk that errors exceeding a tolerable amount will not be prevented or detected by an entity's internal controls.
Controls Tests,Tests directed toward the design or operation of an internal control structure policy or procedure to assess its effectiveness in preventing or detecting material misstatements in a financial report.
Conversion,Exchange of a convertible security such as a BOND into another security such as a fixed number of shares of the issuing CORPORATION’s COMMON STOCK.
Convertible Stock,Stock that may be exchanged for other SECURITIES of the issuer.
Copyright,"An exclusive right granted by the federal government to the possessor to publish and sell literary, musical, or other artistic materials for a period of the author’s life plus 50 years, including computer programs."
Corporate Bond,"DEBT instrument issued by a private CORPORATION, as distinct from one issued by a government agency or a municipality."
Corporate Income Tax,"The TAX that an incorporated business must pay to the federal government and, often, to state and city governments as well."
Corporation,"Form of doing business pursuant to a charter granted by a state or federal government. Corporations typically are characterized by the issuance of freely transferable CAPITAL STOCK, perpetual life, centralized MANAGEMENT, and limitation of owners' LIABILITY to the amount they INVEST in the business."
COSO,An alliance of five professional organizations dedicated to disseminating appropriate internal control standards.
Cost Accounting,"Procedures used for rationally classifying, recording, and allocating current or predicted costs that relate to a certain product or production process."
Cost Basis,"Original price of an ASSET, used in determining CAPITAL GAIN."
Cost of Capital,Rate of return that a business could earn if it chose another investment with equivalent risk.
Cost of Goods Sold,Figure representing the cost of buying raw materials and producing finished goods.
Cost Recovery Method,"METHOD OF REVENUE RECOGNITION which recognizes profits after costs are completely recovered. Generally used only when the total amount of collections is highly uncertain. In tax, the ACCOUNTING METHOD used to depreciate ASSETS."
Coupon,"INTEREST rate on a DEBT SECURITY the ISSUER promises to pay to the holder until maturity, expressed as an annual percentage of FACE VALUE."
Coupon Bond,A BOND that is usually not registered with the issuing CORPORATION but instead bears interest coupons stating the amount of INTEREST due and the payment date.
Coverdell Education Savings Account (Education IRA),A tax exempt trust exclusively for the purpose of paying qualified higher education costs of the trusts designated beneficiary.
CPA,"ACCOUNTANT who has satisfied the education, experience, and examination requirements of his or her jurisdiction necessary to be certified as a public accountant."
CPE,Educational programs for CERTIFIED PUBLIC ACCOUNTANTS (CPAs) to keep informed on changes that occur within the profession. State Boards for Public Accountancy and the AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS (AICPA) each have separate CPE requirements.
Credit,Entry on the right side of a DOUBLE-ENTRY BOOKKEEPING system that represents the reduction of an ASSETor expense or the addition to a LIABILITY or RVENUE.
Credit Agreement,Arrangement in which one party borrows or takes possession in the present by promising to pay in the future.
Credit Balance,BALANCE remaining after one of a series of bookkeeping entries. This amount represents a LIABILITY or incometo the entity.
Creditor,Party that loans money or other ASSETS to another party.
Current Asset,"ASSET that one can reasonably expect to convert into cash, sell, or consume in operations within a single operating cycle, or within a year if more than one cycle is completed each year."
Current Liability,"Obligation whose LIQUIDATION is expected to require the use of existing resources classified as CURRENT ASSETS, or the creation of other current liabilities."
Current Ratio,Used as an indicator of a COMPANY’s liquidity and ability to pay short-term debts. This is found by dividing CURRENT ASSETS by CURRENT LIABILITIES.
Current Value,
Current Yield,"1) Value of an ASSET at the present time as compared with the asset's HISTORICAL COST. (2) In finance, the amount determined by discounting the future revenue stream of an asset using COMPOUND INTEREST PRINCIPLES."
Date of Auditors'/Accountants' Report,Last day the AUDITORS perform fieldwork and the last day of responsibility relating to significant events subsequent to the financial statement date.
DDB,"Method of ACCELERATED DEPRECIATION, approved by the INTERNAL REVENUE SERVICE (IRS), permitting twice the rate of annual DEPRECIATION as the STRAIGHT-LINE DEPRECIATION method."
Dealer,Individual or firm acting as a principal in a securities transaction.
